id,title,company,domain,skills_required,description,combined_text,location_region,job_type,experience,stipend,apply_link,source
12,php development intern,FynTune Solution Private Limited,software engineering,"php, yii, codeigniter, html, javascript, ajax, jquery, mysql, laravel","Selected intern's day-to-day responsibilities include:

1. Develop, record, and maintain cutting-edge web-based PHP applications on portal plus premium service platforms
2. Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications
3. Prepare and maintain all applications utilizing standard development tools
4. Utilize backend data services and contribute to increasing existing data services API
5. Use test-driven development and acceptance tests to ensure feature quality
6. Work on the interface with customer and internal teams to gather requirements and develop software solutions
7. Convey effectively all task progress, evaluations, suggestions, and schedules along with technical and process issues
8. Document the development process, architecture, and standard components
9. Coordinate with co-developers and keep the project manager well informed of the status of development efforts and serve as a liaison between development staff and project manager. AJAX , CodeIgniter , HTML , JavaScript , jQuery , LARAVEL , MySQL , PHP , Yii","php development intern software engineering php, yii, codeigniter, html, javascript, ajax, jquery, mysql, laravel Selected intern's day-to-day responsibilities include:

1. Develop, record, and maintain cutting-edge web-based PHP applications on portal plus premium service platforms
2. Ensure HTML, CSS, and share",unknown,internship,no experience required,"₹ 12,000-18,000 /month",https://internshala.com/internship/detail/php-development-internship-in-multiple-locations-at-fyntune-solution-private-limited1711520175,internshala
13,administration intern,Dough One Sources Private Limited,general,"british english, data science, ms-powerpoint, ms-office, data structures, email marketing, english proficiency (spoken), power bi, python, data analytics, ms-word, english proficiency (written), ms-excel","Selected intern's day-to-day responsibilities include:

1. Type efficiently on the computer in English
2. Manage the clerical office tasks
3. Work on emails and replies
4. Surf the internet and search for relevant data as per our niche
5. Analyze and record the data for our database
6. Work on follow-up calls
7. Work on manual entry of data and quality check of data
8. Work with developers & project managers for ensuring quality delivery of projects
9. Collect data from various resources
10. Prepare documents for projects
11. Perform research from various web pages and search engines
12. Work on acquiring data. British English , Data Analytics , Data Science , Data Structures , Email Marketing , English Proficiency (Spoken) , English Proficiency (Written) , MS-Excel , MS-Office , MS-PowerPoint , MS-Word , Power BI , Python","administration intern general british english, data science, ms-powerpoint, ms-office, data structures, email marketing, english proficiency (spoken), power bi, python, data analytics, ms-word, english proficiency (written), ms-excel Selected intern's day-to-day responsibilities include:

1. Type efficiently on the computer in English
2. Manage the clerical office tasks
3. Work on emails and replies
4. Surf the internet and search",unknown,internship,no experience required,"₹ 13,000-18,500 /month",https://internshala.com/internship/detail/administration-internship-in-multiple-locations-at-dough-one-sources-private-limited1711524382,internshala
14,python development intern,Aester India Private Limited,software engineering,python,"Selected intern's day-to-day responsibilities include:

1. Working on programming
2. Writing and testing code
3. Testing and debugging programs. Python","python development intern software engineering python Selected intern's day-to-day responsibilities include:

1. Working on programming
2. Writing and testing code
3. Testing and debugging programs. Python",unknown,internship,no experience required,"₹ 2,000 /month",https://internshala.com/internship/detail/python-development-internship-in-cochin-at-aester-india-private-limited1711514964,internshala
15,robotics trainer and content developer intern,Yolabs,content writing,"raspberry pi, robotics, unity 3d, python, cnc programming, arduino, embedded systems, blender 3d, c++ programming, autodesk fusion 360, circuit design","Selected intern's day-to-day responsibilities include: 

1. Creating 3D designs of components/combat bots over Fusion 360 or similar platforms
2. Assisting in developing online teaching content 
3. Working on 3D printing, laser cutting & building solutions
4. Writing small Python/C++ scripts for Arduino/ESP32/Raspberry PI
5. Helping in setting up maker space and conducting online and offline workshops. Arduino , Autodesk Fusion 360 , Blender 3D , C++ Programming , Circuit Design , CNC Programming , Embedded Systems , Python , Raspberry Pi , Robotics , Unity 3D","robotics trainer and content developer intern content writing raspberry pi, robotics, unity 3d, python, cnc programming, arduino, embedded systems, blender 3d, c++ programming, autodesk fusion 360, circuit design Selected intern's day-to-day responsibilities include: 

1. Creating 3D designs of components/combat bots over Fusion 360 or similar platforms
2. Assisting in developing online teaching content 
3. Wo",unknown,internship,no experience required,"₹ 12,500 /month",https://internshala.com/internship/detail/robotics-trainer-and-content-developer-internship-in-bangalore-at-yolabs1711602829,internshala
16,angular.js development intern,Varahi Technology Private Limited,web development,"angular 7.0, html, javascript, angularjs, node.js, angular 2.0, css","Are you a talented Angular.js developer looking to gain hands-on experience in a fast-paced tech company? Varahi Technology Private Limited is seeking a dynamic Angular.js Development intern to join our team. 

Key Responsibilities:
1. Assist in designing and developing user interfaces using AngularJS, JavaScript, CSS, and HTML.
2. Work on front-end development projects using Node.js, Angular 7.0, and Angular 2.0.
3. Collaborate with the development team to implement new features and functionalities.
4. Troubleshoot and debug code to ensure optimal performance and user experience.
5. Stay up-to-date with the latest trends in Angular.js development and suggest innovative solutions.
6. Conduct code reviews and provide constructive feedback to improve code quality.
7. Participate in team meetings and contribute ideas to enhance the overall development process.

If you are passionate about Angular.js development and eager to learn and grow in a supportive environment, apply now to join Varahi Technology Private Limited as an Angular.js Development intern!. Angular 2.0 , Angular 7.0 , AngularJS , CSS , HTML , JavaScript , Node.js","angular.js development intern web development angular 7.0, html, javascript, angularjs, node.js, angular 2.0, css Are you a talented Angular.js developer looking to gain hands-on experience in a fast-paced tech company? Varahi Technology Private Limited is seeking a dynamic Angular.js Development intern to join o",unknown,internship,no experience required,"₹ 7,000 /month",https://internshala.com/internship/detail/angularjs-development-internship-in-pune-at-varahi-technology-private-limited1711460472,internshala
17,data analytics intern,The Affordable Organic Store,data analytics,"google analytics, google workspace, data analytics, power bi, ms-excel, data analysis, sql","Selected intern's day-to-day responsibilities include:

1. Collaborate with our data team to develop and implement data-driven solutions, utilizing your strong Python programming skills
2. Analyze complex datasets to uncover valuable insights and present findings to stakeholders, contributing to our growth strategy
3. Assist in building and maintaining data pipelines, ensuring data integrity and accuracy for efficient reporting and analysis
4. Conduct thorough data validation and quality checks to ensure reliable data sources and improve overall data governance
5. Utilize advanced MS Excel functionalities to create insightful reports and visualizations, enabling better decision-making across departments. Data Analysis , Data Analytics , Google Analytics , Google Workspace , MS-Excel , Power BI , SQL","data analytics intern data analytics google analytics, google workspace, data analytics, power bi, ms-excel, data analysis, sql Selected intern's day-to-day responsibilities include:

1. Collaborate with our data team to develop and implement data-driven solutions, utilizing your strong Python programming skills
2. Analyze com",unknown,internship,no experience required,"₹ 3,000 /month",https://internshala.com/internship/detail/data-analytics-internship-in-hyderabad-at-the-affordable-organic-store1711717456,internshala
18,wordpress development intern (part time/remote),WapVenture,web development,"php, wordpress, html, javascript, css","Selected intern's day-to-day responsibilities include: 

1.  Submit the report of the work
2. Complete the given task before EOD
3. Work on routine maintenance tasks and updates. CSS , HTML , JavaScript , PHP , WordPress","wordpress development intern (part time/remote) web development php, wordpress, html, javascript, css Selected intern's day-to-day responsibilities include: 

1.  Submit the report of the work
2. Complete the given task before EOD
3. Work on routine maintenance tasks and updates. CSS , HTML , JavaScri",unknown,internship,no experience required,"₹ 5,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-wordpress-development-internship-at-wapventure1711708312,internshala
19,wordpress development intern (remote),Visionary IT Solutions LLP,web development,web development,"Selected intern's day-to-day responsibilities include: 

1. Website Management: Use WordPress for site maintenance

2. Digital Marketing: Work on SEO and LinkedIn outreach

3. Client Outreach:
a. Draft effective cold emails
b. Research potential clients

4. Research and Assistance:
a. Conduct industry research
b. Support team tasks. Certificate ,  Letter of recommendation ,  Flexible work hours","wordpress development intern (remote) web development web development Selected intern's day-to-day responsibilities include: 

1. Website Management: Use WordPress for site maintenance

2. Digital Marketing: Work on SEO and LinkedIn outreach

3. Client Outreach:
a. Draf",unknown,internship,no experience required,"₹ 3,000-5,000 /month",https://internshala.com/internship/detail/work-from-home-wordpress-development-internship-at-visionary-it-solutions-llp1711711438,internshala
20,wordpress development intern,Pepper Money,web development,wordpress,"As a WordPress development intern at Pepper Money, you will have the opportunity to work alongside our experienced team to enhance our online presence and user experience. Your role will involve developing and customizing WordPress themes, plugins, and websites to meet the needs of our growing business. 

Selected intern's day-to-day responsibilities include:

1. Assisting in the maintenance and updates of our WordPress sites.
2. Collaborating with the design and marketing teams to implement new features and functionalities.
3. Troubleshooting and resolving any issues with WordPress sites.
4. Optimizing websites for speed, performance, and SEO.
5. Researching the latest trends and best practices in WordPress development.
6. Assisting in the creation of documentation and training materials for staff.
7. Providing support and training to colleagues on WordPress-related tasks.

This internship will provide you with valuable hands-on experience and the opportunity to expand your skill set in WordPress development. If you are passionate about web development and eager to learn in a fast-paced environment, we want to hear from you! Apply now to join our dynamic team at Pepper Money.. WordPress","wordpress development intern web development wordpress As a WordPress development intern at Pepper Money, you will have the opportunity to work alongside our experienced team to enhance our online presence and user experience. Your role will involve devel",unknown,internship,no experience required,"₹ 15,000-20,000 /month",https://internshala.com/internship/detail/wordpress-development-internship-in-mumbai-at-pepper-money1711711423,internshala
21,data analytics intern (part time),AUROLAB,data analytics,"data analytics, tableau, ms-excel, power bi","Selected intern's day-to-day responsibilities include: 

1. Work on dashboard creation
2. Do data visualization 
3. Conduct data analytics. Data Analytics , MS-Excel , Power BI , Tableau","data analytics intern (part time) data analytics data analytics, tableau, ms-excel, power bi Selected intern's day-to-day responsibilities include: 

1. Work on dashboard creation
2. Do data visualization 
3. Conduct data analytics. Data Analytics , MS-Excel , Power BI , Tableau",unknown,internship,no experience required,"₹ 40,000-50,000 /month",https://internshala.com/internship/detail/part-time-data-analytics-internship-in-madurai-at-aurolab1711711342,internshala
22,web development intern (part time),Tapaswini Solutions OPC PVT LTD,software engineering,"php, html, javascript, bootstrap, jquery, node.js, mysql, css","Are you a skilled web development enthusiast looking to gain real-world experience? Tapaswini Solutions OPC PVT LTD is seeking a dynamic web development intern to join our team. If you excel in Node.js, HTML, CSS, JavaScript, PHP, Bootstrap, MySQL, and jQuery, we want to hear from you! 

Selected intern's day-to-day responsibilities include:

1. Collaborate with our development team to create and maintain innovative web solutions
2. Design and implement responsive websites for optimal user experience
3. Utilize your expertise in Node.js to enhance backend functionality
4. Debug and troubleshoot code to ensure seamless performance
5. Develop and optimize database structures using MySQL
6. Stay updated on industry trends and best practices to elevate our projects
7. Contribute your creativity and technical skills to drive the success of our clients' websites

Don't miss this opportunity to kickstart your career in web development with Tapaswini Solutions OPC PVT LTD. Apply now and unleash your potential!. Bootstrap , CSS , HTML , JavaScript , jQuery , MySQL , Node.js , PHP","web development intern (part time) software engineering php, html, javascript, bootstrap, jquery, node.js, mysql, css Are you a skilled web development enthusiast looking to gain real-world experience? Tapaswini Solutions OPC PVT LTD is seeking a dynamic web development intern to join our team. If you excel in Node.j",unknown,internship,no experience required,"₹ 10,000 /month +  Incentives",https://internshala.com/internship/detail/part-time-web-development-internship-in-varanasi-at-tapaswini-solutions-opc-pvt-ltd1711709772,internshala
23,backend development intern,Hitech Design,web development,"hadoop, amazon web server (aws), mysql, python","Mush should be eager to learn and develop skills, and Should be self-driven and enthusiastic to work with bare minimum inputs. 

1. Writing effective, scalable code
2. Developing back-end components to improve responsiveness and overall performance
3. Integrating user-facing elements into applications
4. Testing and debugging programs
5. Improving functionality of existing systems
6. Implementing security and data protection solutions
7. Assessing and prioritizing feature requests
8. Coordinating with internal team members to understand user requirements and provide technical solutions.. Amazon Web Server (AWS) , Hadoop , MySQL , Python","backend development intern web development hadoop, amazon web server (aws), mysql, python Mush should be eager to learn and develop skills, and Should be self-driven and enthusiastic to work with bare minimum inputs. 

1. Writing effective, scalable code
2. Developing back-end components t",unknown,internship,no experience required,"₹ 2,000 /month",https://internshala.com/internship/detail/backend-development-internship-in-bangalore-at-hitech-design1711710149,internshala
24,flutter development intern (remote),Next Level Private Limited,mobile development,"cloud firestore, flutter, rest api, android, dart, firebase, ios","As a Flutter Development intern at Next Level Private Limited, you will have the opportunity to work on cutting-edge projects and gain valuable hands-on experience in mobile app development. We are looking for someone who is proficient in Flutter, Firebase, REST API, Android, iOS, Cloud Firestore, and Dart.

Key Responsibilities:
1. Collaborate with the development team to create innovative and user-friendly mobile applications using Flutter.
2. Implement REST API integration and data layer management for seamless app functionality.
3. Work on both Android and iOS platforms to ensure cross-platform compatibility.
4. Utilize Firebase services for authentication, real-time database, and cloud functions.
5. Develop and maintain Cloud Firestore database for efficient data storage and retrieval.
6. Write clean and efficient code in Dart programming language to ensure high performance.
7. Stay updated on the latest trends and best practices in mobile app development to contribute fresh ideas to the team. 

If you are passionate about mobile app development and eager to take your skills to the next level, apply now to join our dynamic team at Next Level Private Limited.. Android , Cloud Firestore , Dart , Firebase , Flutter , iOS , REST API","flutter development intern (remote) mobile development cloud firestore, flutter, rest api, android, dart, firebase, ios As a Flutter Development intern at Next Level Private Limited, you will have the opportunity to work on cutting-edge projects and gain valuable hands-on experience in mobile app development. We are lo",unknown,internship,no experience required,"₹ 5,000-12,000 /month",https://internshala.com/internship/detail/work-from-home-flutter-development-internship-at-next-level-private-limited1711702289,internshala
25,front end development intern,Sandeep Sirodia,web development,"html, html&css, javascript, css","As a front-end development intern at Consumable AI, you will have the opportunity to work alongside experienced developers to enhance your skills and contribute to real-world projects. With your knowledge of HTML, CSS, and JavaScript, you will play a crucial role in shaping the user experience of our websites and applications. 

Selected intern's day-to-day responsibilities include:

1. Collaborating with the design team to implement user-friendly interfaces.
2. Writing clean, efficient, and maintainable code for front-end development.
3. Conducting testing and debugging to ensure optimal performance across different browsers and devices.
4. Staying updated on industry trends and best practices to continuously improve our digital presence.
5. Assisting in the optimization of websites for speed and responsiveness.
6. Attending team meetings and contributing ideas for new features and improvements.
7. Taking on additional tasks and projects as needed to support the development team. 

Note: You must have expertise in Shopify.

If you are passionate about front-end development and eager to gain hands-on experience in a dynamic work environment, apply now to join our team at Consumable AI.. CSS , HTML , HTML&CSS , JavaScript","front end development intern web development html, html&css, javascript, css As a front-end development intern at Consumable AI, you will have the opportunity to work alongside experienced developers to enhance your skills and contribute to real-world projects. With your knowl",unknown,internship,no experience required,"₹ 5,000 /month",https://internshala.com/internship/detail/front-end-development-internship-in-jaipur-at-sandeep-sirodia1711708128,internshala
26,full stack development intern (remote),Mahavir Jain Academy,web development,"next.js, search engine optimization (seo)","As a Full Stack Development intern at Mahavir Jain Academy, you will have the opportunity to work on cutting-edge projects while honing your skills in Search Engine Optimization (SEO) and Next.js. This is a unique chance to gain hands-on experience in a fast-paced and dynamic environment.

Key Responsibilities:
1. Develop and optimize website features using Next.js to enhance user experience and SEO rankings.
2. Implement SEO best practices to improve organic search visibility and drive traffic to the website.

If you are a proactive, creative, and driven individual with a passion for web development and SEO, we want to hear from you. Join us at Mahavir Jain Academy and take your skills to the next level!. Next.js , Search Engine Optimization (SEO)","full stack development intern (remote) web development next.js, search engine optimization (seo) As a Full Stack Development intern at Mahavir Jain Academy, you will have the opportunity to work on cutting-edge projects while honing your skills in Search Engine Optimization (SEO) and Next.js. Thi",unknown,internship,no experience required,"₹ 3,000 /month",https://internshala.com/internship/detail/work-from-home-full-stack-development-internship-at-mahavir-jain-academy1711700308,internshala
27,wordpress development intern (remote),ADZPIXELS,web development,"digital marketing, wordpress, search engine optimization (seo)","We are seeking a passionate and driven individual to join our team as a WordPress developer intern. This internship offers an excellent opportunity for beginners or intermediate-level developers to enhance their skills, gain practical experience, and work on real projects under the guidance of experienced professionals.

Selected intern's day-to-day responsibilities include:

1. Learn the fundamentals of WordPress development and website creation from scratch
2. Assist in developing and customizing WordPress themes and plugins
3. Collaborate with the design team to implement website layouts and user interfaces
4. Troubleshoot and resolve technical issues related to website functionality and performance
5. Participate in brainstorming sessions and contribute creative ideas for website design and development projects

Perks:

1. Hands-on experience with WordPress development and website creation
2. Mentorship and guidance from experienced professionals in the industry
3. Opportunity to work on live projects and build a strong portfolio
4 . Certificate of completion and letter of recommendation upon successful internship tenure. Digital Marketing , Search Engine Optimization (SEO) , WordPress","wordpress development intern (remote) web development digital marketing, wordpress, search engine optimization (seo) We are seeking a passionate and driven individual to join our team as a WordPress developer intern. This internship offers an excellent opportunity for beginners or intermediate-level developers to en",unknown,internship,no experience required,"₹ 1,000 /month",https://internshala.com/internship/detail/work-from-home-wordpress-development-internship-at-adzpixels1711707288,internshala
28,artificial intelligence (ai) intern (remote),Shubh International,artificial intelligence,"data science, neural networks, data structures, python, machine learning, deep learning, natural language processing (nlp)","Selected intern's day-to-day responsibilities include: 

1. Collaborate with senior AI developers to develop natural language processing and computer vision algorithms
2. Collect and preprocess data for machine learning models
3. Analyze and interpret the results of experiments
4. Document and communicate findings to the team
5. Stay up-to-date with the latest research in AI and machine learning. Data Science , Data Structures , Deep Learning , Machine Learning , Natural Language Processing (NLP) , Neural Networks , Python","artificial intelligence (ai) intern (remote) artificial intelligence data science, neural networks, data structures, python, machine learning, deep learning, natural language processing (nlp) Selected intern's day-to-day responsibilities include: 

1. Collaborate with senior AI developers to develop natural language processing and computer vision algorithms
2. Collect and preprocess data f",unknown,internship,no experience required,"₹ 8,000-10,000 /month",https://internshala.com/internship/detail/work-from-home-artificial-intelligence-ai-internship-at-shubh-international1711706205,internshala
